observation_date,BAMLH0A0HYM2
2012-07-31,6.355
2012-08-31,5.923043478260869
2012-09-30,5.611428571428571
2012-10-31,5.486521739130435
2012-11-30,5.709090909090909
2012-12-31,5.331904761904762
2013-01-31,4.936521739130434
2013-02-28,4.993
2013-03-31,4.804090909090909
2013-04-30,4.76409090909091
2013-05-31,4.378260869565217
2013-06-30,5.058095238095238
2013-07-31,4.81695652173913
2013-08-31,4.751363636363636
2013-09-30,4.642857142857143
2013-10-31,4.554347826086956
2013-11-30,4.321363636363636
2013-12-31,4.081363636363637
2014-01-31,3.969130434782609
2014-02-28,4.0305
2014-03-31,3.8076190476190472
2014-04-30,3.7040909090909087
2014-05-31,3.75
2014-06-30,3.471904761904762
2014-07-31,3.6530434782608694
2014-08-31,3.9718181818181817
2014-09-30,4.06
2014-10-31,4.514347826086956
