Month_End,CPI,FEDFUNDS,Industrial_Production,GDP,Unemployment_Rate,Consumer_Sentiment,Credit_Spread,Regime_Label,Regime_Prob_0,Regime_Prob_1,Regime_Prob_2,Regime_Prob_3,Regime_Prob_4,Regime_Prob_5,Regime_Prob_6,Regime_Prob_7,Regime_Prob_8,Regime_Prob_9,Regime_Label_Smoothed,Regime_Name
2013-01-31,231.679,0.14,98.1736,-1.11483473833805,8.0,73.8,4.936521739130434,5,1.5818880844551927e-35,2.7703434176253096e-41,2.235943449525223e-07,2.4539785758624877e-41,3.4237185606010337e-183,0.9999997764051208,1.0927869475240743e-40,5.341555232744001e-13,2.9102428003962102e-95,9.941636949216021e-27,5.0,Mid-Cycle Dip
2013-02-28,232.937,0.15,98.6434,-1.02704134699753,7.7,77.6,4.993,5,6.15627700927976e-34,2.679670236438804e-44,3.345900471255322e-08,2.487646174580308e-41,1.3002475100539949e-156,0.9999999665409954,9.862103228298516e-38,4.192256824367565e-19,4.8033641295483635e-51,7.79809504232338e-30,5.0,Mid-Cycle Dip
2013-03-31,232.282,0.14,99.047,-0.896083416869249,7.5,78.6,4.804090909090909,5,2.496616911641839e-32,1.8603104334907761e-41,2.3185315109008892e-08,1.1309403135947225e-40,8.533772835052769e-141,0.9999999768146848,2.9448457314229423e-34,8.816584968647875e-23,1.0246391903383617e-36,1.9566194411536553e-29,5.0,Mid-Cycle Dip
2013-04-30,231.797,0.15,98.9445,-0.730473346426988,7.6,76.4,4.76409090909091,5,1.7309131567892337e-31,1.3107999246170225e-31,4.8149508379879626e-08,1.698421323772914e-40,6.195325158000607e-144,0.9999999518504916,3.967045759826186e-32,2.216696559497961e-19,9.454426690083099e-50,5.844303964554738e-26,5.0,Mid-Cycle Dip
2013-05-31,231.893,0.11,99.0383,-0.542601666883676,7.5,84.5,4.378260869565217,5,8.14529609329758e-27,3.962347512686479e-31,4.5543078224487007e-10,2.5111151441219278e-42,2.0893292902845726e-120,0.9999999995445692,9.500472881624285e-31,6.747066962845379e-25,8.842116339233179e-20,5.619090204293522e-34,5.0,Mid-Cycle Dip
2013-06-30,232.445,0.09,99.2221,-0.342575547382832,7.5,84.1,5.058095238095238,5,6.056689687132354e-26,3.415466108794789e-23,1.7329920799255875e-10,5.167072905552531e-43,4.2102684567526423e-113,0.9999999998267008,3.2089901861169124e-29,1.5697421106937972e-23,1.1948185886602717e-19,2.5728412160844387e-33,5.0,Mid-Cycle Dip
2013-07-31,232.9,0.09,98.8987,-0.133500784411374,7.3,85.1,4.81695652173913,5,3.9404510381979596e-23,2.5961209156189884e-18,1.1387167263006769e-10,1.7639980668008507e-42,4.124814144232901e-102,0.9999999998861284,1.0605330948555918e-24,4.688794263811296e-26,2.018527354914415e-17,1.9350662076939856e-33,5.0,Mid-Cycle Dip
2013-08-31,233.456,0.08,99.4897,0.0850059700099215,7.2,82.1,4.751363636363636,5,8.435134059736065e-24,1.0332651035463886e-10,1.7612592718348918e-10,1.791863192363756e-42,1.7414293734971202e-93,0.9999999997205475,2.2825737947717274e-22,7.125816137441663e-25,1.214714347299857e-18,1.4012620938592316e-30,5.0,Mid-Cycle Dip
2013-09-30,233.544,0.08,100.021,0.312649203070996,7.2,77.5,4.642857142857143,5,1.0788710555479898e-24,0.000971180135315439,1.9700921840810903e-09,3.0360911898970893e-42,4.88290972911923e-92,0.9990288178945927,1.1297323638976827e-19,1.106697027780884e-20,2.770744145957286e-28,2.4190817261064446e-26,5.0,Mid-Cycle Dip
2013-10-31,233.669,0.09,99.9037,0.543558411407033,7.2,73.2,4.554347826086956,1,1.1967917850590537e-25,0.9311875736115994,3.3669654046148185e-09,3.841340353661968e-43,6.0597913526444415e-96,0.06881242302143475,5.356722148239176e-18,7.456176805123608e-18,1.7338212489440749e-46,6.171197871400936e-24,1.0,Crisis Peak
